Player,Score,Percent_Positive,Total_Comments,Positive,Neutral,Negative,Rk,AV,Round,Pick,DrftYr,College,From,To,Age,G,GS,AV.1,Pos,Team,-9999
Jalen Reagor,49.56394585967064,0.19491525423728814,118,23,71,24,550,8.0,1,21,2020,TCU,2020,2023,21-24,50,25,8.0,WR,MINNWEPHI,ReagJa00
Clyde Edwards-Helaire,86.3808396756649,0.3333333333333333,156,52,73,31,305,16.0,1,32,2020,Louisiana State,2020,2023,21-24,43,30,16.0,RB,KAN,EdwaCl00
Jeff Okudah,48.92009541392326,0.1518987341772152,158,24,96,38,596,7.0,1,3,2020,Ohio State,2020,2023,21-24,34,30,7.0,CB,ATLDET,OkudJe00
Derrick Brown,96.23142796754837,0.16988416988416988,259,44,162,53,222,20.0,1,7,2020,Auburn,2020,2023,22-25,60,57,20.0,DT,CAR,BrowDe05
CeeDee Lamb,-10.180984526872635,0.10576923076923077,104,11,52,41,86,33.0,1,17,2020,Oklahoma,2020,2023,21-24,60,55,33.0,WR,DAL,LambCe00
Robert Hunt,42.933457016944885,0.15625,96,15,62,19,248,19.0,2,39,2020,Louisiana,2020,2023,24-27,59,53,19.0,RT,MIA,HuntRo01
Ross Blacklock,36.26831874251366,0.14457831325301204,83,12,56,15,731,4.0,2,40,2020,TCU,2020,2023,22-25,42,3,4.0,DT,HOUJAXMINTEN,BlacRo00
AJ Dillon,31.600795537233353,0.11842105263157894,152,18,94,40,267,18.0,2,62,2020,Boston College,2020,2023,22-25,56,9,18.0,RB,GNB,DillAJ00
Damon Arnette,70.00010776519775,0.1978021978021978,182,36,103,43,872,2.0,1,19,2020,Ohio State,2020,2021,24-25,13,7,2.0,CB,LVR,ArneDa00
Xavier McKinney,59.41170832514763,0.28125,128,36,63,29,409,12.0,2,36,2020,Alabama,2020,2023,21-24,44,41,12.0,S,NYG,McKiXa00
Cesar Ruiz,21.49246573448181,0.2206896551724138,145,32,66,47,295,17.0,1,24,2020,Michigan,2020,2023,21-24,56,50,17.0,RG/C,NOR,RuizCe00
Jeremy Chinn,29.98529702425003,0.14516129032258066,62,9,43,10,99,31.0,2,64,2020,Southern Illinois,2020,2023,22-25,48,48,31.0,RLB,CAR,ChinJe00
Andrew Thomas,84.8116665482521,0.1881720430107527,186,35,116,35,190,23.0,1,4,2020,Georgia,2020,2023,21-24,50,49,23.0,LT,NYG,ThomAn02
Darrell Taylor,9.664984107017517,0.08450704225352113,71,6,44,21,664,6.0,2,48,2020,Tennessee,2021,2023,24-26,43,11,6.0,LB,SEA,TaylDa00
Jeff Gladney,49.80396127700806,0.25252525252525254,99,25,54,20,687,5.0,1,31,2020,TCU,2020,2020,24,16,15,5.0,RCB,MIN,GladJe00
Ezra Cleveland,58.478914350271225,0.23648648648648649,148,35,78,35,266,18.0,2,58,2020,Boise State,2020,2023,22-25,56,49,18.0,OL,JAXMIN,ClevEz00
Austin Jackson,50.505798637866974,0.23134328358208955,134,31,70,33,355,14.0,1,18,2020,Southern California,2020,2023,21-24,43,41,14.0,LG,MIA,JackAu00
Justin Herbert,20.750425159931183,0.16161616161616163,99,16,56,27,36,45.0,1,6,2020,Oregon,2020,2023,22-25,60,60,45.0,QB,LAC,HerbJu00
Isaiah Wilson,53.22509449720383,0.13714285714285715,175,24,109,42,1199,0.0,1,29,2020,Georgia,2020,2020,21,1,0,0.0,T,TEN,WilsIs00
AJ Terrell,47.92417359352112,0.08571428571428572,175,15,122,38,257,19.0,1,16,2020,Clemson,2020,2023,22-25,55,55,19.0,CB,ATL,TerrAJ00
Jerry Jeudy,46.660222351551056,0.1746987951807229,166,29,94,43,287,17.0,1,15,2020,Alabama,2020,2023,21-24,51,40,17.0,WR,DEN,JeudJe00
Tee Higgins,24.21374213695526,0.13095238095238096,168,22,97,49,138,27.0,2,33,2020,Clemson,2020,2023,21-24,53,48,27.0,WR,CIN,HiggTe00
Jaycee Horn,56.67477297782898,0.12179487179487179,156,19,108,29,639,6.0,1,8,2021,South Carolina,2021,2023,22-24,17,17,6.0,CB,CAR,HornJa00
Trey Lance,28.662014812231064,0.1978021978021978,91,18,50,23,753,4.0,1,3,2021,North Dakota State,2021,2022,21-22,8,4,4.0,QB,SFO,LancTr00
Pat Freiermuth,34.2421618103981,0.16666666666666666,150,25,83,42,463,10.0,2,55,2021,Penn State,2021,2023,23-25,38,23,10.0,TE,PIT,FreiPa00
Richie Grant,23.41634100675583,0.11904761904761904,84,10,54,20,581,7.0,2,40,2021,Central Florida,2021,2023,24-26,44,28,7.0,S,ATL,GranRi00
Rashawn Slater,64.49763715267181,0.23696682464454977,211,50,108,53,314,16.0,1,13,2021,Northwestern,2021,2023,22-24,30,30,16.0,T,LAC,SlatRa00
Levi Onwuzurike,33.62319725751877,0.23529411764705882,68,16,40,12,1025,1.0,2,41,2021,Washington,2021,2023,23-25,22,0,1.0,DL,DET,OnwuLe00
Samuel Cosmi,22.58302092552185,0.16666666666666666,72,12,43,17,574,7.0,2,51,2021,Texas,2021,2023,22-24,35,27,7.0,RT,WAS,CosmSa00
Pete Werner,30.306628584861755,0.17543859649122806,57,10,37,10,477,10.0,2,60,2021,Ohio State,2021,2023,22-24,38,30,10.0,LB,NOR,WernPe00
Aaron Banks,35.85881173610687,0.2876712328767123,73,21,37,15,524,8.0,2,48,2021,Notre Dame,2021,2023,24-26,34,25,8.0,OL,SFO,BankAa00
Alijah Vera-Tucker,65.68959552049637,0.14705882352941177,204,30,127,47,604,7.0,1,14,2021,Southern California,2021,2023,22-24,28,28,7.0,LG,NYJ,VeraAl00
Zaven Collins,59.324020236730576,0.22916666666666666,144,33,78,33,488,9.0,1,16,2021,Tulsa,2021,2023,22-24,45,34,9.0,DB,ARI,CollZa00
Caleb Farley,64.08734920620918,0.18396226415094338,212,39,121,52,978,1.0,1,22,2021,Virginia Tech,2021,2022,23-24,12,2,1.0,CB,TEN,FarlCa00
Jaelan Phillips,51.073097974061966,0.2265625,128,29,68,31,414,12.0,1,18,2021,Miami (FL),2021,2023,22-24,42,26,12.0,LB,MIA,PhilJa02
Asante Samuel Jr.,10.19591337442398,0.2119205298013245,151,32,63,56,553,8.0,2,47,2021,Florida State,2021,2023,22-24,40,37,8.0,RCB,LAC,SamuAs00
Kelvin Joseph,37.68798604607582,0.1310344827586207,145,19,88,38,912,2.0,2,44,2021,Kentucky,2021,2023,21-23,30,3,2.0,CB,DALMIA,JoseKe02
Javonte Williams,53.53906688094139,0.10948905109489052,137,15,96,26,521,9.0,2,35,2021,North Carolina,2021,2023,21-23,31,14,9.0,RB,DEN,WillJa10
Micah Parsons,58.096887439489365,0.271523178807947,151,41,73,37,63,37.0,1,12,2021,Penn State,2021,2023,22-24,44,44,37.0,LB,DAL,ParsMi00
Payton Turner,43.01935285329819,0.06369426751592357,157,10,114,33,944,2.0,1,28,2021,Houston,2021,2023,23-25,14,0,2.0,DE,NOR,TurnPa02
Teven Jenkins,35.531108260154724,0.24848484848484848,165,41,72,52,641,6.0,2,39,2021,Oklahoma State,2021,2023,23-25,27,20,6.0,OL,CHI,JenkTe00
Gregory Rousseau,57.440822154283524,0.23853211009174313,109,26,64,19,294,17.0,1,30,2021,Miami (FL),2021,2023,21-23,41,41,17.0,DE,BUF,RousGr00
Dillon Radunz,13.69141274690628,0.22,50,11,25,14,842,3.0,2,53,2021,North Dakota State,2021,2023,23-25,33,10,3.0,T,TEN,RaduDi00
Rondale Moore,86.81111532449722,0.21875,128,28,86,14,546,8.0,2,49,2021,Purdue,2021,2023,21-23,34,20,8.0,WR,ARI,MoorRo02
Alex Leatherwood,75.23332467675209,0.12101910828025478,157,19,115,23,543,8.0,1,17,2021,Alabama,2021,2022,22-23,21,17,8.0,RG,CHILVR,LeatAl00
Jamin Davis,59.6097776889801,0.248,125,31,68,26,395,12.0,1,19,2021,Kentucky,2021,2023,23-25,44,35,12.0,LB,WAS,DaviJa11
Kwity Paye,90.48886066675186,0.32298136645962733,161,52,78,31,385,13.0,1,21,2021,Michigan,2021,2023,23-25,37,37,13.0,DE,IND,PayeKw00
Jaylen Waddle,40.94632947444916,0.175,160,28,90,42,258,19.0,1,6,2021,Alabama,2021,2023,23-25,43,43,19.0,WR,MIA,WaddJa00
Justin Fields,14.59373676776886,0.226890756302521,119,27,52,40,196,22.0,1,11,2021,Ohio State,2021,2023,22-24,35,33,22.0,QB,CHI,FielJu00
Christian Darrisaw,84.0991735458374,0.2887700534759358,187,54,92,41,394,12.0,1,23,2021,Virginia Tech,2021,2023,22-24,36,34,12.0,LT,MIN,DarrCh00
Tutu Atwell,37.90145733952522,0.10852713178294573,129,14,84,31,790,3.0,2,57,2021,Louisville,2021,2023,22-24,32,15,3.0,WR,LAR,AtweTu00
Greg Newsome II,69.51602286100388,0.296,125,37,64,24,594,7.0,1,26,2021,Northwestern,2021,2023,21-23,36,34,7.0,RCB,CLE,NewsGr00
Tre'von Moehrig,41.5709123313427,0.15315315315315314,111,17,70,24,513,9.0,2,43,2021,TCU,2021,2023,22-24,44,42,9.0,S,LVR,MoehTr00
Terrace Marshall Jr.,10.708086639642715,0.1780821917808219,73,13,36,24,703,5.0,2,59,2021,Louisiana State,2021,2023,21-23,35,15,5.0,WR,CAR,MarsTe00
Kadarius Toney,62.80361384153366,0.26126126126126126,111,29,64,18,723,5.0,1,20,2021,Florida,2021,2023,22-24,29,10,5.0,WR,KANNYG,ToneKa00
Dayo Odeyingbo,25.64049729704857,0.109375,64,7,46,11,762,4.0,2,54,2021,Vanderbilt,2021,2023,22-24,38,5,4.0,DE,IND,OdeyDa00
Jackson Carman,22.4668987095356,0.14814814814814814,135,20,74,41,733,4.0,2,46,2021,Clemson,2021,2023,21-23,21,6,4.0,RG,CIN,CarmJa00
Kyle Trask,16.23598662018776,0.12962962962962962,108,14,59,35,1181,0.0,2,64,2021,Florida,2022,2023,24-25,3,0,0.0,QB,TAM,TrasKy00
Creed Humphrey,46.440366476774216,0.23717948717948717,156,37,77,42,198,22.0,2,63,2021,Oklahoma,2021,2023,22-24,45,45,22.0,C,KAN,HumpCr00
Ja'Marr Chase,37.00386866927147,0.1417910447761194,134,19,80,35,164,24.0,1,5,2021,Louisiana State,2021,2023,21-23,40,40,24.0,WR,CIN,ChasJa00
Penei Sewell,48.1718724668026,0.3087248322147651,149,46,61,42,233,20.0,1,7,2021,Oregon,2021,2023,21-23,44,44,20.0,RT/LT,DET,SewePe00
DeVonta Smith,7.9734010100364685,0.16071428571428573,112,18,54,40,189,23.0,1,10,2021,Alabama,2021,2023,23-25,45,44,23.0,WR,PHI,SmitDe07
Azeez Ojulari,47.54904305934906,0.2857142857142857,98,28,50,20,472,10.0,2,50,2021,Georgia,2021,2023,21-23,30,21,10.0,OLB,NYG,OjulAz00
Nick Bolton,35.00246450304985,0.2638888888888889,72,19,40,13,369,13.0,2,58,2021,Missouri,2021,2023,21-23,37,33,13.0,LB,KAN,BoltNi00
Jevon Holland,27.02185946702957,0.1452991452991453,117,17,69,31,402,12.0,2,36,2021,Oregon,2021,2023,21-23,43,40,12.0,FS,MIA,HollJe02
Josh Myers,47.10618221759796,0.2268041237113402,97,22,57,18,411,12.0,2,62,2021,Ohio State,2021,2023,23-25,34,34,12.0,OL,GNB,MyerJo00
